file,animal,channel,start_sec,duration_sec,confidence,type,convulsive_conf
Week_3/W3_D7/AD_W3_D7_02082026(7).edf,4,6,18.3,5.2,0.78,non_convulsive,0.03
Week_3/W3_D3/AD_W3_D3_29072026(6).edf,4,6,4170.4,5.1,0.775,non_convulsive,0.11
Week_3/W3_D3/AD_W3_D3_29072026(2).edf,4,6,2357.2,8.1,0.771,non_convulsive,0.077
Week_3/W3_D7/AD_W3_D7_02082026(13).edf,4,6,4439.4,6.0,0.767,non_convulsive,0.048
Week_3/W3_D4/AD_W3_D4_30072026(16).edf,4,6,1641.6,11.8,0.708,non_convulsive,0.081
Week_3/W3_D5/AD_W3_D5_31072026(10).edf,4,6,2037.1,6.5,0.659,non_convulsive,0.074
Week_3/W3_D4/AD_W3_D4_30072026(16).edf,4,6,2486.1,20.1,0.626,convulsive,0.619
Week_3/W3_D6/AD_W3_D6_01082026(14).edf,2,3,2087.7,8.1,0.607,non_convulsive,0.044
Week_3/W3_D4/AD_W3_D4_30072026(7).edf,4,6,182.5,16.0,0.574,convulsive,0.578
Week_3/W3_D4/AD_W3_D4_30072026(16).edf,4,6,1369.7,6.2,0.573,non_convulsive,0.027
Week_3/W3_D6/AD_W3_D6_01082026(15).edf,4,6,4711.3,15.9,0.572,non_convulsive,0.162
Week_3/W3_D3/AD_W3_D3_29072026(5).edf,4,6,2108.7,5.3,0.556,non_convulsive,0.137
Week_2/W2_D7/AD_W2_D7_26072026(16).edf,2,3,4702.7,10.8,0.54,non_convulsive,0.132
Week_2/W2_D7/AD_W2_D7_26072026(16).edf,2,3,4682.1,11.4,0.534,non_convulsive,0.113
Week_3/W3_D2/AD_W3_D2_28072026(10).edf,4,6,2815.3,5.4,0.524,convulsive,0.537
Week_3/W3_D5/AD_W3_D5_31072026(7).edf,4,6,4539.4,7.6,0.515,non_convulsive,0.083
Week_3/W3_D4/AD_W3_D4_30072026(7).edf,4,6,458.3,6.4,0.421,convulsive,0.964
Week_3/W3_D4/AD_W3_D4_30072026(7).edf,4,6,270.5,8.3,0.399,convulsive,0.862
Week_3/W3_D4/AD_W3_D4_30072026(16).edf,4,6,2510.0,5.2,0.379,convulsive,0.783
Week_3/W3_D5/AD_W3_D5_31072026(1).edf,4,6,2370.5,7.2,0.311,convulsive,0.676
Week_3/W3_D5/AD_W3_D5_31072026(1).edf,4,6,2487.0,11.0,0.294,convulsive,0.55
Week_3/W3_D5/AD_W3_D5_31072026(1).edf,4,6,2324.1,5.1,0.282,convulsive,0.719
