filename,cohort,group_id,animal_ch0,cohort_ch0,group_ch0,animal_ch1,cohort_ch1,group_ch1,animal_ch2,cohort_ch2,group_ch2,animal_ch3,cohort_ch3,group_ch3,animal_ch4,cohort_ch4,group_ch4,animal_ch5,cohort_ch5,group_ch5,animal_ch6,cohort_ch6,group_ch6,animal_ch7,cohort_ch7,group_ch7
AD_W1_D1_13072026(1).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(10).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(11).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(12).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(13).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(14).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(15).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(2).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(3).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(4).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(5).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(6).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(7).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(8).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D1_13072026(9).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(1).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(10).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(11).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(12).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(13).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(14).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(15).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(16).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(17).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(2).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(3).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(4).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
AD_W1_D2_14072026(5).edf,AD_5xFAD,,Animal_Ch1,,,,,,,,,Animal_Ch4,,,,,,Animal_Ch6,,,Animal_Ch7,,,,,
